Object	Name	Description	SourceColumn	Expression	FormatString	DataType
Model.Channel	Channel					
Model.Sales	Sales	Contains the statistics overview of all sales in the period from 01.01.2011 to 31.12.2013.\n\nThe OrderDate indicates the receipt of an order. The DateKey indicates the day on which an order was processed and turned into a revenue. Therefore the DateKey is the decisive date for revenue calculations.\n\nDatasource: NAV Table [SalesExampleTable]				
Model.Stores	Stores					
Model.Promotion	Promotion					
Model.ProductSubcategory	ProductSubcategory					
Model.ProductCategory	ProductCategory					
Model.Product	Product					
Model.Geography	Geography					
Model.Date	Date					
Model.Sales.SUM Sales	SUM Sales	Sum of the amounts that have been invoiced (in CHF). When filtering by date, the DateKey is used, which indicates the day on which an order was processed and turned into a revenue.\r\n\r\nFilters:\r\n- Date (day)\r\n- Chanel\r\n- PromotionChanged\r\n- Product\r\n- Stores		SUM ( Sales[SalesAmount] )	#,0.00\ "CHF";-#,0.00\ "CHF";#,0.00\ "CHF"	Decimal
Model.Sales.SUM Sales LY	SUM Sales LY	Sum of the amounts that have been invoiced (in CHF). Refers to the selected time period and represents the value for the same time period in the previous year. When filtering by date, the DateKey is used, which indicates the day on which an order was processed and turned into a revenue.\r\n\r\nFilters:\r\n- Date (day)\r\n- Chanel\r\n- PromotionChanged\r\n- Product\r\n- Stores\r\n		CALCULATE(\r\n    Sales[SUM Sales],\r\n    SAMEPERIODLASTYEAR( 'Date'[DateKey] )\r\n)	#,0\ "CHF";-#,0\ "CHF";#,0\ "CHF"	Decimal
Model.Sales.NUM of Stores	NUM of Stores	Number of stores that generated sales in the period under consideration. When filtering by date, the DateKey is used, which indicates the day on which an order was processed and turned into a revenue.\r\n\r\nFilters:\r\n- Date (day)\r\n- Chanel\r\n- PromotionChanged\r\n- Product\r\n- Stores\r\n		DISTINCTCOUNT( Sales[StoreKey] )	0	Int64
Model.Sales.AVG Sales per Store	AVG Sales per Store	Average sales amount (in CHF) per store, which generated sales in the period under consideration. When filtering by date, the DateKey is used, which indicates the day on which an order was processed and turned into a revenue.\r\n\r\nFilters:\r\n- Date (day)\r\n- Chanel\r\n- PromotionChanged\r\n- Product\r\n- Stores		DIVIDE(\r\n    [SUM Sales],\r\n    [NUM of Stores]\r\n)	#,0.00\ "CHF";-#,0.00\ "CHF";#,0.00\ "CHF"	Decimal
